fips,PST045213,PST040210,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010213,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010212,BZA110212,BZA115212,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
13119,22009,22084,-0.3,22084,5.6,21.7,18.4,51.0,88.0,9.2,0.3,0.8,0.0,1.6,4.4,84.4,91.9,2.8,4.8,73.1,13.5,1407,23.6,10402,71.0,7.5,129700,8731,2.45,18441,32179,21.2,428,6032,9.5,1605,1915,0.0,0.0,0.0,0.0,0.0,25.3,430397,107788,315062,14431,22760,5,261.50,84.5
13121,984293,920583,6.9,920581,6.6,23.5,10.1,51.3,46.9,44.4,0.3,6.3,0.1,2.0,7.7,40.7,79.5,12.9,16.4,90.2,48.4,48143,26.9,441076,54.6,44.0,246200,366140,2.45,37238,57664,16.8,33332,702163,2.4,97671,106113,26.7,0.5,5.4,0.0,3.2,32.3,10428483,40824135,13239670,13363,4133808,3432,526.64,1748.0
13123,28579,28277,1.1,28292,5.3,20.8,20.8,49.7,96.4,0.9,0.7,0.4,0.5,1.1,10.6,87.1,82.3,5.7,8.6,75.9,14.5,2670,28.0,16536,72.6,4.4,148500,11270,2.49,21290,37257,20.4,532,5570,-1.0,2494,2593,0.0,0.0,0.0,0.0,0.0,24.7,354553,45815,370523,12965,36555,71,426.54,66.3
13125,3102,3082,0.6,3082,5.0,24.6,16.7,51.4,88.7,9.4,0.4,0.3,0.0,1.3,1.5,87.3,90.4,1.1,1.0,78.0,9.3,246,28.3,1494,69.5,1.9,70200,1182,2.53,17169,32346,23.7,22,0,0.0,177,216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4815,1739,0,0,143.74,21.4
13127,81508,79626,2.4,79626,6.5,23.4,16.9,52.8,69.5,26.6,0.5,1.5,0.2,1.7,6.5,64.2,80.9,5.0,9.2,86.6,25.8,7965,19.5,41265,63.8,20.5,171300,31137,2.52,27446,49986,17.7,2403,29011,-0.4,6057,0,0.0,0.0,0.0,0.0,0.0,0.0,0,270865,1351775,18083,398301,368,419.75,189.7
13129,55757,55186,1.0,55186,6.7,25.7,12.9,50.2,92.2,4.4,0.6,1.1,0.4,1.4,14.6,78.9,85.4,9.7,14.8,73.1,13.9,3052,23.6,22116,67.8,15.8,118500,19194,2.85,18835,40661,19.9,1010,17865,-0.8,3510,4842,0.0,0.0,2.6,0.0,0.0,20.4,2528116,0,659417,12680,62480,32,355.81,155.1
13131,25278,25012,1.1,25011,7.0,25.5,15.6,51.3,67.8,28.9,1.3,0.6,0.2,1.3,10.9,58.9,90.5,5.7,9.1,73.3,10.7,1620,27.7,10620,62.7,4.5,104900,9568,2.60,17528,32206,28.7,411,3858,1.7,1484,1843,0.0,0.0,0.0,0.0,0.0,27.3,183214,201332,168147,6750,13083,17,454.53,55.0
13133,16321,15994,2.0,15994,5.5,19.5,25.4,51.4,60.9,36.9,0.4,0.4,0.1,1.2,6.3,55.8,92.1,4.1,3.9,76.2,19.4,1439,25.7,8882,75.7,6.8,136700,6509,2.42,27229,40728,22.5,413,4327,-0.7,1366,1986,14.6,0.0,0.0,0.0,0.0,16.5,673247,31905,137147,8715,60642,114,387.44,41.3
13135,859304,805324,6.7,805321,7.1,28.1,8.2,50.9,59.1,26.3,0.8,11.2,0.1,2.4,20.4,41.6,84.9,25.4,33.1,87.2,34.5,39439,31.9,295139,69.5,20.1,180700,264592,3.04,26442,61944,13.7,21210,296328,3.8,85925,93820,17.0,1.1,14.2,0.2,9.3,28.6,6480318,28829120,13857021,17939,1264671,2469,430.38,1871.2
13137,43300,43041,0.6,43041,6.1,23.4,17.0,52.6,90.7,4.0,1.1,2.5,0.3,1.4,13.6,78.7,90.9,8.4,12.6,78.9,17.9,3197,22.9,18036,76.2,7.9,143200,14890,2.71,19758,41894,18.1,807,11831,4.8,2960,4315,0.0,0.0,0.0,0.0,0.0,24.0,968514,0,492128,11672,41762,37,276.74,155.5
